,Year,Age,Female,Male,Total
206,1755-1759,95,0.374656,0.42182700000000006,0.389919
207,1755-1759,96,0.398611,0.45599799999999996,0.416842
208,1755-1759,97,0.424105,0.49528999999999995,0.44623100000000004
209,1755-1759,98,0.451626,0.541284,0.478775
210,1755-1759,99,0.48212299999999997,0.594072,0.5150939999999999
211,1755-1759,100,0.518655,0.657886,0.5585140000000001
212,1755-1759,101,0.566818,0.747989,0.616795
213,1755-1759,102,0.627237,0.8935569999999999,0.696067
214,1755-1759,103,0.7170270000000001,1.2705879999999998,0.8373280000000001
215,1755-1759,104,0.9133129999999999,1.261044,0.9695
216,1755-1759,105,1.240143,2.129032,1.329032
217,1755-1759,106,1.3141209999999999,,1.3141209999999999
218,1755-1759,107,2.148148,,2.148148
219,1755-1759,108,,,
220,1755-1759,109,,,
221,1755-1759,110,,,
222,1760-1764,0,0.24814099999999997,0.277043,0.262728
223,1760-1764,1,0.062016999999999996,0.06389700000000001,0.062953
224,1760-1764,2,0.038983,0.040987,0.039974
225,1760-1764,3,0.028187,0.029505,0.028832999999999998
226,1760-1764,4,0.026858999999999997,0.026320999999999997,0.026588
227,1760-1764,5,0.024717,0.023052,0.023855
228,1760-1764,6,0.017477,0.016963,0.017213
229,1760-1764,7,0.012057,0.012305,0.012183
230,1760-1764,8,0.008445999999999999,0.009151000000000001,0.008801
231,1760-1764,9,0.006532,0.0074659999999999995,0.006996
232,1760-1764,10,0.005932,0.006952,0.0064329999999999995
233,1760-1764,11,0.006124,0.006986,0.006551
234,1760-1764,12,0.00629,0.006991,0.006640999999999999
235,1760-1764,13,0.006406,0.006962,0.006687
236,1760-1764,14,0.0064719999999999995,0.006912000000000001,0.006695
237,1760-1764,15,0.006517,0.006878,0.006701
238,1760-1764,16,0.006214,0.006794,0.006504
239,1760-1764,17,0.006056000000000001,0.006905,0.0064730000000000005
240,1760-1764,18,0.006037,0.0072120000000000005,0.006601999999999999
241,1760-1764,19,0.00614,0.007701,0.006876999999999999
242,1760-1764,20,0.006313,0.008304,0.007236
243,1760-1764,21,0.006778,0.009026000000000001,0.007819
244,1760-1764,22,0.007178,0.009653,0.008322
245,1760-1764,23,0.007511,0.010189,0.008743
246,1760-1764,24,0.007775,0.010625,0.009078
247,1760-1764,25,0.008033,0.011004,0.009382
248,1760-1764,26,0.008157,0.010865000000000001,0.009389
249,1760-1764,27,0.008501,0.010831,0.009565
250,1760-1764,28,0.009059000000000001,0.010905,0.009907
251,1760-1764,29,0.009831999999999999,0.011097,0.010416
252,1760-1764,30,0.010694,0.011345000000000001,0.010997
253,1760-1764,31,0.01188,0.01222,0.012038
254,1760-1764,32,0.012695999999999999,0.01292,0.012801
255,1760-1764,33,0.013061000000000001,0.013408000000000002,0.013224000000000001
256,1760-1764,34,0.012862,0.013646,0.013231999999999999
257,1760-1764,35,0.012186,0.013701,0.012903
258,1760-1764,36,0.011085,0.013168000000000001,0.012072
259,1760-1764,37,0.010698000000000001,0.013094,0.011831
260,1760-1764,38,0.011027,0.013465000000000001,0.012176000000000001
261,1760-1764,39,0.012084000000000001,0.014297,0.013125
262,1760-1764,40,0.013669,0.015484,0.014522
263,1760-1764,41,0.015829,0.0175,0.016614
264,1760-1764,42,0.017494,0.01924,0.018313999999999997
265,1760-1764,43,0.018478,0.020619,0.019484
266,1760-1764,44,0.018549,0.021486,0.019929
267,1760-1764,45,0.017753,0.021843,0.019672
268,1760-1764,46,0.016205,0.021261000000000002,0.018566
269,1760-1764,47,0.015375999999999999,0.021202000000000002,0.018080000000000002
270,1760-1764,48,0.015300999999999999,0.021686,0.018248
271,1760-1764,49,0.016003,0.02277,0.01911
272,1760-1764,50,0.017279,0.024303,0.020488
273,1760-1764,51,0.019302,0.026871,0.022747999999999997
274,1760-1764,52,0.020957,0.029068,0.024638999999999998
275,1760-1764,53,0.022164,0.030823000000000003,0.026082
276,1760-1764,54,0.022758,0.031918,0.026889999999999997
277,1760-1764,55,0.022878,0.032404,0.027163999999999997
278,1760-1764,56,0.022272999999999998,0.031351,0.026341000000000003
279,1760-1764,57,0.022824,0.031294999999999996,0.026601
280,1760-1764,58,0.024429,0.032191000000000004,0.027869
281,1760-1764,59,0.027058,0.034134,0.030172000000000004
282,1760-1764,60,0.030344,0.036967,0.033232
283,1760-1764,61,0.035617,0.042416,0.038560000000000004
284,1760-1764,62,0.040485,0.047674,0.043573
285,1760-1764,63,0.044724,0.052453,0.048018
286,1760-1764,64,0.047675999999999996,0.055840999999999995,0.05113
287,1760-1764,65,0.048915,0.056998,0.052317999999999996
288,1760-1764,66,0.048239,0.055942,0.051440999999999994
289,1760-1764,67,0.049337,0.056153999999999996,0.052134
290,1760-1764,68,0.052426,0.058085000000000005,0.054713
291,1760-1764,69,0.05779,0.062299,0.059583000000000004
292,1760-1764,70,0.065106,0.068749,0.06653099999999999
293,1760-1764,71,0.076153,0.078374,0.07701799999999999
294,1760-1764,72,0.086906,0.087888,0.087288
295,1760-1764,73,0.097336,0.097002,0.097206
296,1760-1764,74,0.10676,0.10538399999999999,0.10622100000000001
297,1760-1764,75,0.114479,0.11305599999999999,0.11392000000000001
298,1760-1764,76,0.11623499999999999,0.116595,0.116376
299,1760-1764,77,0.12038199999999999,0.122196,0.12108800000000002
300,1760-1764,78,0.128048,0.131077,0.129222
301,1760-1764,79,0.14131400000000002,0.145291,0.14285
302,1760-1764,80,0.136447,0.14269600000000002,0.138829
303,1760-1764,81,0.153375,0.159492,0.15570799999999999
304,1760-1764,82,0.17085999999999998,0.176808,0.17313
305,1760-1764,83,0.187639,0.193467,0.18986199999999998
306,1760-1764,84,0.200041,0.206119,0.202353
307,1760-1764,85,0.203455,0.210535,0.20613
308,1760-1764,86,0.202571,0.21146700000000002,0.205895
309,1760-1764,87,0.20017200000000002,0.211511,0.204347
310,1760-1764,88,0.198233,0.212092,0.203251
311,1760-1764,89,0.20155,0.21775500000000003,0.207325
312,1760-1764,90,0.268237,0.28275500000000003,0.27334200000000003
313,1760-1764,91,0.286595,0.300935,0.29157
314,1760-1764,92,0.30635999999999997,0.32063800000000003,0.311235
315,1760-1764,93,0.327889,0.342089,0.33265100000000003
316,1760-1764,94,0.35131100000000004,0.365026,0.35582199999999997
317,1760-1764,95,0.377415,0.391108,0.381818
318,1760-1764,96,0.407464,0.423659,0.412524
319,1760-1764,97,0.441691,0.463924,0.448392
320,1760-1764,98,0.480771,0.511437,0.48963999999999996
321,1760-1764,99,0.52908,0.5831569999999999,0.543791
322,1760-1764,100,0.589496,0.712338,0.619553
323,1760-1764,101,0.669842,1.0051889999999999,0.736286
324,1760-1764,102,0.807401,1.868571,0.9191870000000001
325,1760-1764,103,1.11079,6.0,1.154506
326,1760-1764,104,1.8407639999999998,,1.8407639999999998
327,1760-1764,105,6.0,,6.0
328,1760-1764,106,,,
329,1760-1764,107,,,
330,1760-1764,108,,,
331,1760-1764,109,,,
332,1760-1764,110,,,
333,1765-1769,0,0.24225300000000002,0.275024,0.258842
334,1765-1769,1,0.058447000000000006,0.061439,0.059937
335,1765-1769,2,0.036032999999999996,0.038515,0.037264
336,1765-1769,3,0.02682,0.028076,0.027438999999999998
337,1765-1769,4,0.025588,0.025490000000000002,0.025539
338,1765-1769,5,0.022466999999999997,0.021906000000000002,0.022182
339,1765-1769,6,0.015475,0.015647,0.015562000000000001
340,1765-1769,7,0.01029,0.010957999999999999,0.010625
341,1765-1769,8,0.006976,0.007902,0.007435
342,1765-1769,9,0.005456,0.0064670000000000005,0.005952000000000001
343,1765-1769,10,0.005299,0.006311,0.005792
344,1765-1769,11,0.005686,0.006520000000000001,0.006096
345,1765-1769,12,0.005981,0.006626999999999999,0.0063030000000000004
346,1765-1769,13,0.0061909999999999995,0.006659999999999999,0.0064269999999999996
347,1765-1769,14,0.006319,0.006634999999999999,0.00648
348,1765-1769,15,0.006393,0.0065829999999999994,0.006490000000000001
349,1765-1769,16,0.006135,0.0065569999999999995,0.0063479999999999995
350,1765-1769,17,0.005966,0.006658,0.0063100000000000005
351,1765-1769,18,0.005872,0.00689,0.006370000000000001
352,1765-1769,19,0.005861,0.00728,0.006543000000000001
353,1765-1769,20,0.0059229999999999994,0.007811,0.006814
354,1765-1769,21,0.006372999999999999,0.00852,0.007384999999999999
355,1765-1769,22,0.00685,0.009177,0.007947
356,1765-1769,23,0.007345999999999999,0.009746,0.008477
357,1765-1769,24,0.007831999999999999,0.010173999999999999,0.008936
358,1765-1769,25,0.008311,0.010468,0.009327
359,1765-1769,26,0.008473999999999999,0.010289,0.009327
360,1765-1769,27,0.008786,0.010239,0.009467
361,1765-1769,28,0.009245999999999999,0.010314,0.009745
362,1765-1769,29,0.009856,0.010495,0.010154
363,1765-1769,30,0.010528000000000001,0.010712000000000001,0.010614
364,1765-1769,31,0.011457,0.011339,0.011401999999999999
365,1765-1769,32,0.012006999999999999,0.011804,0.011911
366,1765-1769,33,0.012136,0.012117000000000001,0.012126999999999999
367,1765-1769,34,0.011819,0.012288,0.01204
368,1765-1769,35,0.011183,0.012397,0.011757
369,1765-1769,36,0.010298,0.011969,0.011090000000000001
370,1765-1769,37,0.010034999999999999,0.011874,0.01091
371,1765-1769,38,0.010374,0.012102,0.0112
372,1765-1769,39,0.011278,0.012634000000000001,0.011929
373,1765-1769,40,0.012512,0.013343,0.012912
374,1765-1769,41,0.014188999999999998,0.015087999999999999,0.014616999999999998
375,1765-1769,42,0.0154,0.016665,0.015997
376,1765-1769,43,0.016078,0.017984,0.016971
377,1765-1769,44,0.016153999999999998,0.019012,0.017485
378,1765-1769,45,0.015738,0.019849000000000002,0.017647
379,1765-1769,46,0.014605000000000002,0.019364,0.016821
380,1765-1769,47,0.014103999999999998,0.019329,0.016541
381,1765-1769,48,0.014232,0.019783000000000002,0.016819
382,1765-1769,49,0.014969,0.020692,0.017627
383,1765-1769,50,0.016109000000000002,0.021856999999999998,0.018767
384,1765-1769,51,0.018161,0.024449000000000002,0.021046000000000002
385,1765-1769,52,0.019828,0.026626,0.022928
386,1765-1769,53,0.021011000000000002,0.028249,0.024296
387,1765-1769,54,0.021651,0.029311,0.025111
388,1765-1769,55,0.021943999999999998,0.030008,0.025568
389,1765-1769,56,0.02144,0.028987,0.024831
390,1765-1769,57,0.02196,0.028892,0.025071
391,1765-1769,58,0.023525,0.029735,0.026307999999999998
392,1765-1769,59,0.026073000000000002,0.031383,0.028449000000000002
393,1765-1769,60,0.029227999999999997,0.0335,0.031137
394,1765-1769,61,0.033148000000000004,0.037777,0.035185
395,1765-1769,62,0.0363,0.041866,0.03871
396,1765-1769,63,0.038657,0.045667,0.041647
397,1765-1769,64,0.040541,0.049512,0.044319
398,1765-1769,65,0.042595,0.054029999999999995,0.047353
399,1765-1769,66,0.045173000000000005,0.057395,0.050256
400,1765-1769,67,0.049257,0.06155599999999999,0.054357
401,1765-1769,68,0.05500599999999999,0.066592,0.05977999999999999
402,1765-1769,69,0.062336,0.072019,0.066289
403,1765-1769,70,0.070605,0.07703,0.073201
404,1765-1769,71,0.080226,0.08377799999999999,0.081649
405,1765-1769,72,0.089174,0.09070299999999999,0.089782
406,1765-1769,73,0.096765,0.097479,0.09704700000000001
407,1765-1769,74,0.10245,0.103953,0.10304100000000001
408,1765-1769,75,0.106398,0.110472,0.107993
409,1765-1769,76,0.10887999999999999,0.11395599999999999,0.110874
